id,phi0,epsr,epsv,thetaf,ra,rp,dt1,dt2,x_ra,x_rp,tof,m0,lfb
29,2.0106192982974673,1.0e-6,1.0e-6,3.015928947446201,0.01469142745822593,3.8501551816307615,13.380999999998023,8.750000000006041,"[386.7228365508817, 3.2318238962703063, 1.941616811437601e-22, 0.08486044433909022, 0.054803642181305574, 3.114170771578038e-23, 1.0]","[388.8083969210987, 0.007136371742137586, 3.595583393271321e-23, 0.20132549121268983, -4.680054729877235, 1.3426904542462912e-20, 1.0]",22.131000000004065,1.0,0
30,2.0106192982974673,1.0e-6,1.0e-6,3.141592653589793,0.08872482187173092,4.092254546619088,13.607999999997897,9.089000000006859,"[387.6591204051618, 3.9276431102027156, 1.1681232914389067e-22, 0.07207848214939228, 0.021147911000287036, 3.182251349465951e-23, 1.0]","[388.8934723649093, -0.0515207316037124, -1.962034764639384e-24, 3.1062641488940295, 3.4291670452957153, -1.425089963395243e-21, 1.0]",22.697000000004756,1.0,0
31,2.0106192982974673,1.0e-6,1.0e-6,5.9061941887488105,0.004204828382246433,3.9658871510613056,15.691999999996742,11.144000000013072,"[392.1358890868193, -2.1895399228279797, 1.5304285363216713e-22, -0.09812343658211754, -0.14939597054755716, 3.539987205311282e-23, 1.0]","[388.82529812232644, 0.0010960571939760827, 1.0551975382282983e-23, 10.610440033039938, 24.36162169534628, -4.198137978553242e-20, 1.0]",26.836000000009815,1.0,0
32,2.0106192982974673,1.0e-6,1.0e-6,6.157521601035994,0.005546648769267388,3.84174901618045,13.397999999998014,8.742000000006062,"[390.9154151551838, -3.2247655822380086, 1.9567039533072998e-22, -0.08247144618504174, -0.05323708788187698, 3.1030914592957436e-23, 1.0]","[388.81835058191047, -0.004735432584992018, 9.778425198784738e-24, 5.449313571032424, -25.91110962181736, -4.271172044202506e-20, 1.0]",22.140000000004076,1.0,0
33,2.1362830044410592,1.0e-6,1.0e-6,2.8902652413026098,0.010066608009592316,3.65829271750197,14.044999999997655,9.06900000000761,"[385.95985110047104, 2.2964500545640956, 8.789810924711679e-22, 0.055718637978571954, 0.06921851028470793, 7.819869782350985e-24, 1.0]","[388.831257328404, 0.0009812570975472092, 2.0503053576900524e-23, 3.06906292144979, 24.812140487438434, -6.864086917632594e-20, 1.0]",23.114000000005266,1.0,0
34,2.1362830044410592,1.0e-6,1.0e-6,3.015928947446201,0.19336579290445843,3.2943063710815066,11.968999999998806,7.366000000001842,"[386.88766892013064, 2.654608375867218, 8.484155388688723e-22, -0.025010151035836495, -0.018127538200832176, -8.501512987139386e-24, 1.0]","[388.99758195842304, -0.0793307677224568, -6.639440234522144e-23, 1.0758855628736168, 2.9180466798379627, -4.817983175349782e-22, 1.0]",19.335000000000647,1.0,0
35,2.1362830044410592,1.0e-6,1.0e-6,3.8955748904513436,0.11551942663048058,2.7242370033217487,9.88599999999996,4.884999999997293,"[389.7825325472729, 2.547478685517109, 2.87755672701286e-20, 0.25132234835351813, -0.09345812490021067, -3.023355774493196e-21, 1.0]","[388.8564722791218, 0.11001513514413215, -1.1601004189606065e-21, 0.9879839111032901, -0.24421329579560275, -7.114648940768331e-20, 1.0]",14.770999999997253,1.0,21
36,2.1362830044410592,1.0e-6,1.0e-6,6.031857894892402,0.019222840348616214,3.6654829818956243,14.122999999997612,9.126000000007819,"[391.69756514555394, -2.2899380422803417, 8.81454917174693e-22, -0.05421025039754302, -0.06791563839922786, 6.776216809866194e-24, 1.0]","[388.83950106656806, -0.0060001725429738835, 2.087210481538287e-23, 0.656346433033411, 3.2377282136958665, 7.21587953952743e-21, 1.0]",23.24900000000543,1.0,0
37,2.1362830044410592,1.0e-6,1.0e-6,6.157521601035994,0.1800284823748472,3.3015284866281953,12.025999999998774,7.413000000002,"[390.77385170995893, -2.6501118090102884, 8.490885343859645e-22, 0.02442810605835305, 0.01785243108392149, -9.416729193784924e-24, 1.0]","[388.66028110515373, 0.0806406860144694, -5.65901153567852e-23, -1.2275543528577522, -2.9712737599731813, -4.498393439972959e-22, 1.0]",19.439000000000775,1.0,0
38,2.261946710584651,1.0e-6,1.0e-6,0.0,0.008952326037174224,4.056208686518145,15.104999999997068,11.688000000012694,"[392.13969790278, -2.3472991397990017, 1.8229126333447773e-21, -0.11769459586156777, -0.16716187166122246, -1.9255428632129433e-22, 1.0]","[388.82478016805095, -0.008222034844916903, 8.53577475645337e-24, -6.671022093359246, 9.427507921949912, -1.9789146846979987e-20, 1.0]",26.793000000009762,1.0,0
39,2.261946710584651,1.0e-6,1.0e-6,3.141592653589793,0.004676293958240821,3.9945378441293884,14.723999999997279,11.159000000011371,"[385.61576015768486, 2.4021331817755502, 1.7798494106076963e-21, 0.11383916830645649, 0.1522999651159955, -1.9912801611391697e-22, 1.0]","[388.82589215141394, 0.00046123312819538846, 3.595247676523525e-24, 5.750723414844461, -9.89957540731409, -1.485082121301193e-20, 1.0]",25.88300000000865,1.0,0
40,2.3876104167282426,1.0e-6,1.0e-6,0.2513274122871834,0.15277320145950102,3.547947948828868,11.777999999998912,7.845000000002088,"[390.3351237478183, -3.1976141257271995, -5.114509108717768e-22, -0.006678067138794401, -0.0032037463163519936, -7.576724499909719e-22, 1.0]","[388.70112097509195, 0.09440017496393291, 1.605744448260684e-23, -1.9167274386150348, -2.8701600432718175, 1.5782285203265525e-20, 1.0]",19.623000000001,1.0,0
41,2.3876104167282426,1.0e-6,1.0e-6,3.392920065876976,0.19871171307521682,3.5067033647366963,11.63599999999899,7.753000000001723,"[387.3745777332709, 3.182361882372762, -4.604113505582466e-22, -0.0037174180278606154, -0.0016820478679617891, -7.644295929230212e-22, 1.0]","[388.98445830600286, -0.11333883637957164, -2.956628964574925e-24, 1.574507972620123, 2.6016618362231845, 1.1738710237131617e-20, 1.0]",19.389000000000713,1.0,0
42,2.5132741228718345,1.0e-6,1.0e-6,1.5079644737231006,0.035155761504718004,3.843249148862691,14.729999999997275,8.471000000008097,"[387.25311583982426, 3.506755880902116, 1.674803203918599e-20, 0.05977421936630772, 0.02651240550756983, 4.68660602347902e-23, 1.0]","[388.84957812906316, -0.020803894311033785, -2.075896846762649e-22, 4.128501295578786, 4.951835247037258, -4.1354700752516106e-20, 1.0]",23.201000000005372,1.0,2
43,2.5132741228718345,1.0e-6,1.0e-6,4.649557127312893,0.05529292017145294,3.8456400137905433,14.749999999997264,8.491000000008157,"[390.2821572492728, -3.5551822726371194, 1.6764302741527806e-20, -0.054660372927882506, -0.022267967937062993, 1.2063131496357447e-22, 1.0]","[388.7776542630786, 0.03402510000281516, -3.013999662219615e-22, -3.4812323995174177, -4.09781134555706, -3.034937187548868e-20, 1.0]",23.24100000000542,1.0,2
44,2.638937829015426,1.0e-6,1.0e-6,0.2513274122871834,0.08894578935688705,4.589957277025206,14.43399999999744,11.201000000010907,"[390.77045092526265, -4.168869369988475, -4.678155690655765e-20, -0.18477464400973911, -0.086378763828578, -1.4851083379338854e-21, 1.0]","[388.74931728912287, 0.05233230322924277, 9.210407514541027e-22, 2.2555135738602807, 4.145791515649318, 1.5377059788150625e-19, 1.0]",25.635000000008347,1.0,0
45,2.638937829015426,1.0e-6,1.0e-6,3.392920065876976,0.04087005584493387,4.523262631984068,14.19899999999757,10.609000000009766,"[387.02289495465357, 4.1628794642820575, -4.6134901135183714e-20, 0.16710547947164264, 0.07206150676495623, -1.4970876004929378e-21, 1.0]","[388.8533774716441, -0.025247934640185283, 1.9919676022026068e-22, -3.8599579144194798, -6.931997394279921, 3.9577110289625604e-19, 1.0]",24.808000000007336,1.0,0
46,2.638937829015426,1.0e-6,1.0e-6,3.7699111843077517,0.08013761114159818,3.4270234209192134,18.398999999999504,7.666000000009369,"[386.76298033007293, 2.7320808237177467, 8.192730058781892e-21, 0.006009015465229372, 0.004579071541099717, -6.167351724467271e-21, 1.0]","[388.8862620263536, -0.046840137188839476, -4.68760432461177e-22, 2.21826551319988, 4.133736267973898, 1.9918552377556105e-19, 1.0]",26.065000000008872,1.0,5
47,3.015928947446201,1.0e-6,1.0e-6,0.0,0.11607544576591748,4.015403049698382,13.444999999997988,8.945000000006393,"[389.93103806174025, -3.8608965770542256, 1.400995030356166e-22, -0.059256097062310505, -0.016885708658334043, 3.319792402648498e-23, 1.0]","[388.727407754607, 0.06833206012493691, -4.817842818676902e-24, -2.627458415818176, -2.985613837823514, -1.104937661208972e-21, 1.0]",22.39000000000438,1.0,0
48,3.015928947446201,1.0e-6,1.0e-6,2.8902652413026098,0.03033126603454625,3.8034836551346958,13.977999999997692,9.287000000007758,"[386.138811117317, 2.7098376372549167, 2.1115323731858018e-22, 0.08754818913356117, 0.08636856491415407, 3.2707949649645915e-23, 1.0]","[388.83905634111306, 0.024546199559199667, 4.107323339240401e-23, -19.583361678331332, -41.411695397324685, -1.016170490258785e-19, 1.0]",23.26500000000545,1.0,0
49,3.015928947446201,1.0e-6,1.0e-6,3.015928947446201,0.03497365611177644,3.792189859295841,13.203999999998121,8.528000000005456,"[386.8015399159008, 3.2108055934222657, 2.1239687222105307e-22, 0.07210961704061632, 0.04507580207067234, 3.18055103643472e-23, 1.0]","[388.7894694064455, 0.014624335784938639, 1.382812383047324e-23, -0.5454556705529188, -3.8000545555474226, 3.960833082284654e-21, 1.0]",21.732000000003577,1.0,0
