This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:     1092
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:       78
                     variables with only lower bounds:        0
                variables with lower and upper bounds:       75
                     variables with only upper bounds:        0
Total number of equality constraints.................:       14
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 118r 1.0000000e+00 8.33e+00 2.28e+05   2.0 4.81e+02    -  9.68e-03 3.20e-03f  1
 119r 1.0000000e+00 2.47e+01 3.95e+04   2.0 1.13e+02    -  9.84e-01 5.66e-03f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r 1.0000000e+00 2.41e+01 3.57e+04  -4.0 4.53e+00    -  2.07e-01 2.50e-02f  1
 121r 1.0000000e+00 2.98e+01 5.28e+08   1.5 5.21e+00    -  2.17e-01 5.06e-01f  1
 122r 1.0000000e+00 2.91e+01 2.01e+08   3.0 2.91e+01    -  1.56e-02 2.45e-02f  1
 123r 1.0000000e+00 2.90e+01 1.15e+09   1.8 2.07e+01    -  3.19e-02 4.88e-02h  1
 124r 1.0000000e+00 3.37e+01 5.52e+11   1.8 2.43e+01    -  7.21e-02 2.23e-01h  1
 125r 1.0000000e+00 1.83e+01 4.26e+11   1.8 4.10e+03    -  8.76e-03 8.70e-04f  2
 126r 1.0000000e+00 2.48e+01 5.50e+11   1.8 1.45e+03    -  2.59e-02 1.24e-03f  2
 127r 1.0000000e+00 3.14e+01 2.96e+11   1.8 2.44e+01    -  7.72e-02 8.15e-01h  1
 128r 1.0000000e+00 2.15e+01 2.76e+11   1.8 1.11e+01    -  4.39e-01 2.86e-01f  1
 129r 1.0000000e+00 1.94e+01 2.46e+11   1.8 1.36e+01    -  3.51e-01 4.37e-06f 12
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r 1.0000000e+00 2.39e+01 2.89e+11   1.8 1.35e+01    -  6.50e-02 1.64e-05f 14
 131r 1.0000000e+00 2.33e+01 2.66e+11   1.8 3.54e+00    -  6.18e-02 1.77e-05f 13
 132r 1.0000000e+00 1.71e+01 1.06e+10   1.8 5.86e+03    -  1.82e-02 3.32e-03f  1
 133r 1.0000000e+00 1.70e+01 2.88e+09   1.8 4.08e+01    -  4.92e-01 5.97e-03f  3
 134r 1.0000000e+00 1.17e+01 3.73e+08   1.8 1.23e+01    -  6.65e-01 2.23e-01F  1
 135r 1.0000000e+00 2.40e+00 7.80e+07   1.5 2.44e+00    -  7.82e-01 6.22e-01f  1
 136r 1.0000000e+00 2.19e+00 4.63e+08   1.8 6.82e-01    -  1.35e-01 1.72e-01F  1
 137r 1.0000000e+00 2.10e+01 2.53e+11   1.6 5.10e-01    -  2.55e-01 1.78e-01f  1
 138r 1.0000000e+00 2.21e+01 1.73e+10   2.6 1.77e+00    -  1.26e-01 1.00e+00f  1
 139r 1.0000000e+00 2.59e+01 1.29e+11   2.0 2.82e+00    -  1.00e+00 3.51e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140r 1.0000000e+00 2.82e+01 5.30e+09   2.0 2.37e-01    -  1.00e+00 1.00e+00f  1
